home_team,away_team,home_score,away_score,point_spread,is_conference,is_neutral,home_advantage,off_eff_diff,def_eff_diff,adj_off_eff_diff,adj_def_eff_diff,efg_pct_diff,ts_pct_diff,threepar_diff,ftr_diff,luck_diff,net_rating_diff,rating_luck_interaction,shooting_strength_interaction
Rider Broncs,Villanova Wildcats,48,72,-24,0,0,-27.5,-32.9033585742236,20.00492920996919,-25.99161312903672,11.857951578142703,-0.1307437673500923,-0.1479840223737616,-0.1274347976803498,-0.0545153813178155,0.2318668162864214,-37.849564707179425,-8.77605806648059,4.948594682377731
Stonehill Skyhawks,Marquette Golden Eagles,59,94,-35,0,0,-23.75,-23.797529303726947,25.22517815046784,-21.27363633785076,22.14667453661822,-0.065124304958551,-0.0633066210477507,-0.0003750633651679,-0.0107522093980256,0.1656858140471409,-43.42031087446898,-7.194129553416317,2.827717566784006
UConn Huskies,Dayton Flyers,67,85,-18,0,1,25.883116883116884,7.99052282049864,-5.422863110004954,-1.6942146893535437,3.2807380206929793,0.0244803933094457,0.0179431881298529,0.0617387637535116,-0.0901484986148914,-0.0306333374958059,-4.974952710046523,0.15239940539252933,-0.12178879903783166
Davidson Wildcats,Providence Friars,69,58,11,0,1,,-5.489272069701926,11.108630842653112,-1.6169317976877124,4.0895839159123994,-0.0290367461616009,-0.0205654068533092,-0.0292844994776748,-0.0556501644328281,0.4823938176976853,-5.706515713600112,-2.752787900835389,0.16569864824299327
Valparaiso Beacons,DePaul Blue Demons,70,89,-19,0,0,-20.5,-5.405771124002271,23.45304697788572,0.5012571271295627,19.28852263750076,-0.0873617867823194,-0.0720317622323563,-0.0932835785093033,-0.0474071725833533,-0.0091517180756494,-18.787265510371192,0.1719357573632886,1.6412890837398713
Monmouth Hawks,Seton Hall Pirates,63,51,12,0,0,-14.5,-1.542399976828264,8.86360127500464,1.2254875280024322,1.0532569628912682,0.0005261184617567,0.0083583530150365,0.0670413383659117,-0.1128995931632045,0.1256773466590355,0.1722305651111639,0.02164548043675733,9.061367998377273e-05
Western Carolina Catamounts,Marquette Golden Eagles,62,94,-32,0,0,-31.75,-37.39757411373219,18.0588681862222,-27.467881302573502,14.103445102350337,-0.1134438804302491,-0.1218000459366611,0.0908996914266858,-0.1340057252959991,0.1692171734295321,-41.57132640492384,-7.0345823499576845,4.716012582007037
UAlbany Great Danes,Georgetown Hoyas,68,100,-32,0,0,-24.5,0.2243712352164379,36.34330733761247,2.566599592055354,35.7268435586315,-0.0328648615307434,-0.0104553685918621,0.0481380971575752,0.0895635379068151,0.1144432149911943,-33.16024396657615,-3.7949649294273273,1.0898068262871945
Harvard Crimson,St. John's Red Storm,64,77,-13,0,0,-17.5,-15.363329712429376,29.056091170710673,-5.335820498606239,29.248004293610535,-0.0707622742093622,-0.0656998581576995,0.1082274089190412,-0.0838805678964076,0.0648951057625654,-34.583824792216774,-2.244320967564939,2.447230093155382
Maryland Eastern Shore Hawks,UConn Huskies,45,99,-54,0,0,-45.8,-48.77394072709279,29.33763639562511,-36.27737657269438,18.96361738033785,-0.2120617230612924,-0.2252273098340773,-0.1040028785179827,-0.0514370114847269,0.1881579282337769,-55.24099395303223,-10.394030975777142,11.714500361298448
