team,home_game_id,away_game_id
Oklahoma Sooners,"[401729747, 401708300, 401708317, 401708347, 401708359, 401708368]","[401715671, 401716054, 401727313, 401727355, 401711756, 401727258, 401735273, 401729741, 401721284, 401719222, 401721957, 401722123, 401708315, 401708331, 401708339, 401708367]"
Oklahoma State Cowboys,"[401719222, 401715588, 401729792, 401726409, 401715567, 401725642, 401725657, 401725662, 401725693, 401725699, 401725712]","[401729788, 401719217, 401719218, 401719219, 401719220, 401719221, 401725633, 401725649, 401725673, 401725678, 401725704]"
Old Dominion Monarchs,"[401706871, 401722310]",[]
Ole Miss Rebels,"[401700430, 401731040, 401715326, 401708309, 401708324, 401708335, 401708350]","[401715317, 401715318, 401715319, 401715320, 401715321, 401715322, 401715323, 401715324, 401715325, 401711713, 401708304, 401708318, 401708343, 401708357, 401708363, 401708371]"
Omaha Mavericks,"[401715388, 401706960]",[]
Oral Roberts Golden Eagles,"[401715387, 401715321, 401715642, 401719221]",[]
Oregon Ducks,"[401715702, 401721653, 401730560, 401721309, 401721342, 401721350, 401721380, 401721393, 401721406]","[401721650, 401720873, 401721651, 401721652, 401719207, 401719208, 401721317, 401721654, 401720524, 401721324, 401721331, 401721364, 401721371, 401721400]"
Oregon State Beavers,[401729814],[401721653]
Pacific Tigers,"[401725196, 401715311, 401706922]",[]
Penn State Nittany Lions,"[401715417, 401721320, 401715420, 401721339, 401721357, 401721377, 401721385]","[401706903, 401729853, 401715413, 401715414, 401715415, 401715416, 401715418, 401721310, 401715419, 401715421, 401721325, 401721332, 401721350, 401721369, 401721392, 401721403]"
Pennsylvania Quakers,"[401715421, 401715618]",[]
Pepperdine Waves,[401715402],[]
Pittsburgh Panthers,"[401715410, 401714991, 401724771, 401724757, 401724804, 401724822, 401724838]","[401715687, 401715688, 401715689, 401706992, 401715690, 401714920, 401729804, 401711633, 401715691, 401724784, 401724795, 401724755, 401724809, 401724833, 401724847]"
Portland Pilots,[401721651],[]
